Date;Open;High;Low;Close;Adj Close;Volume
2013-04-01;951.41;951.60;934.84;938.79;938.79;2753110000
2013-03-28;952.13;953.26;949.42;951.54;951.54;3304440000
2013-03-27;944.77;950.42;940.29;950.24;950.24;2914210000
2013-03-26;948.79;950.77;945.30;949.82;949.82;2869260000
2013-03-25;948.63;953.53;941.18;945.85;945.85;3178170000
2013-03-22;943.97;947.54;943.97;946.27;946.27;2948380000
2013-03-21;946.92;950.07;941.47;943.92;943.92;3243270000
2013-03-20;946.64;951.95;946.64;951.95;951.95;3349090000
2013-03-19;948.51;950.79;936.73;942.85;942.85;3796210000
2013-03-18;952.46;952.46;941.44;947.20;947.20;3164560000
2013-03-15;953.50;954.00;949.48;952.48;952.48;5175850000
2013-03-14;945.43;953.07;945.43;953.07;953.07;3459260000
2013-03-13;940.07;944.61;938.57;943.90;943.90;3073830000
2013-03-12;941.28;942.75;938.22;940.26;940.26;3274910000
2013-03-11;940.43;942.62;939.12;942.51;942.51;3091080000
2013-03-08;939.74;942.56;935.48;942.50;942.50;3652260000
2013-03-07;930.15;934.57;929.37;934.57;934.57;3634710000
2013-03-06;929.34;930.81;927.45;929.96;929.96;3676890000
2013-03-05;920.08;928.13;920.08;927.40;927.40;3610690000
2013-03-04;914.05;916.69;908.64;916.68;916.68;3414430000
2013-03-01;905.37;915.72;899.31;914.73;914.73;3695610000
2013-02-28;909.62;915.89;909.20;911.11;911.11;3912320000
2013-02-27;900.01;913.51;899.20;909.92;909.92;3551850000
2013-02-26;898.75;902.13;894.24;900.05;900.05;3975280000
2013-02-25;916.12;919.36;895.84;895.84;895.84;4011050000
2013-02-22;910.35;916.15;910.35;916.15;916.15;3419320000
2013-02-21;912.70;912.70;900.48;905.40;905.40;4274600000
2013-02-20;931.47;931.65;913.50;913.50;913.50;4240570000
2013-02-19;924.14;932.00;924.14;932.00;932.00;3748910000
2013-02-15;927.33;927.34;921.74;923.15;923.15;3838510000
2013-02-14;920.55;924.68;918.71;923.76;923.76;3759740000
2013-02-13;918.13;921.29;916.79;920.58;920.58;3385880000
2013-02-12;913.77;918.17;913.73;917.52;917.52;3414370000
2013-02-11;913.55;913.56;910.22;913.03;913.03;2684100000
2013-02-11;913.55;913.56;910.22;913.03;913.03;2684100000
